Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
CFLU4,"1.000,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,88%","10,72%","1,10","17,68%","32,15%","0,00","60.351.000,00","0,06","8,14%"
PMET3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,10%","0,00","-290.863.000,00","0,00","37,74%"
MNSA3,"0,42","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
IVTT3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-0,40%","0,00","1.083.050.000,00","0,00","20,67%"
CLAN3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-1,05%","0,00","1.012.240.000,00","0,00","-63,96%"
CSTB3,"150,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
POPR4,"10,17","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,66%","5,65%","1,08","15,25%","19,93%","0,00","545.803.000,00","0,82","30,93%"
MNSA4,"0,47","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
CSTB4,"147,69","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
RRRP3,"38,62","-8.645,46","1,90","10,750","0,00%","1,435","3,64","31,46","5,45","21,57","14,65","34,17%","2,20%","4,79","8,60%","-0,02%","184.807.000,00","4.107.890.000,00","0,01","256,32%"
GNDI3,"66,95","-3.584,82","5,84","3,423","2,81%","2,378","79,65","87,05","-6,21","91,13","50,88","3,93%","-0,09%","1,17","3,09%","-0,16%","331.267.000,00","7.116.080.000,00","0,53","25,23%"
APER3,"32,99","-3.140,65","1,71","3,930","0,00%","1,026","7,22","-8,56","-9,97","-6,81","-9,20","-45,89%","-0,31%","1,92","-15,46%","-0,05%","1.282.640,00","293.651.000,00","0,00","6,64%"
PLDN4,"486,00","-553,07","1,08","0,919","0,00%","0,611","1,07","-75,56","3,10","-33,12","-33,12","-1,22%","-0,17%","10,81","-1,27%","-0,20%","0,00","289.939.000,00","0,01","10,26%"
RCSL3,"3,55","-416,03","-6,16","4,951","0,00%","4,154","61,18","294,18","-3,63","291,71","155,27","1,68%","-1,18%","1,15","1,50%","1,48%","18.248.100,00","-43.698.000,00","-0,00","667,41%"
DASA3,"24,34","-376,63","1,84","1,368","1,21%","0,742","16,70","86,56","-2,59","106,61","15,93","1,58%","-0,26%","1,17","1,04%","-0,49%","14.661.900,00","7.418.660.000,00","0,72","30,37%"
CASH3,"2,20","-369,04","2,48","8,485","0,27%","2,140","2,99","-194,53","3,38","-131,95","-199,85","-4,36%","-1,15%","21,09","-3,63%","-0,67%","119.739.000,00","713.849.000,00","0,00","0,00%"
LCSA4,"35,09","-337,52","-228,00","79,738","0,00%","125,308","-202,27","-505,80","-96,61","-506,56","-506,56","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
GEPA4,"30,00","-321,93","1,49","2,103","9,80%","0,715","-4,89","16,40","-1,72","22,81","10,88","12,83%","-0,65%","0,42","5,34%","-0,46%","19.509,20","1.907.660.000,00","0,68","-0,57%"
GEPA3,"29,00","-311,20","1,44","2,033","10,14%","0,691","-4,73","15,85","-1,67","22,26","10,62","12,83%","-0,65%","0,42","5,34%","-0,46%","5.314,61","1.907.660.000,00","0,68","-0,57%"
BHGR3,"19,10","-272,16","1,10","3,613","0,00%","0,855","-194,45","23,70","-8,56","25,95","14,20","15,24%","-1,31%","0,96","3,93%","-0,40%","0,00","1.077.600.000,00","0,20","20,67%"
RJCP3,"0,01","-224,70","0,65","0,000","0,00%","0,619","0,00","-522,94","0,00","-523,96","-917,32","0,00%","0,00%","0,00","0,00%","-0,29%","0,00","17.287.200,00","0,00","0,00%"
ABYA3,"4,91","-214,80","1,76","2,055","0,00%","0,527","1,98","19,96","-2,75","33,67","33,67","10,29%","-0,96%","2,09","2,78%","-0,82%","0,00","292.060.000,00","1,31","16,41%"
PITI4,"1,28","-204,74","0,00","0,000","0,00%","0,000","0,00","-2.637,65","0,00","-2.637,65","111,07","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","-29,63%"
MAPT3,"37,00","-197,69","-5,77","0,000","0,00%","43,988","-8.500,75","-225,19","-5,10","-225,19","-225,19","0,00%","0,00%","0,00","-19,64%","2,92%","0,00","-5.898.000,00","0,00","0,00%"
RCSL4,"1,10","-128,91","-1,91","1,534","0,00%","1,287","18,96","91,15","-1,12","88,69","47,21","1,68%","-1,18%","1,15","1,50%","1,48%","1.273.210,00","-43.698.000,00","-0,00","667,41%"
LCSA3,"12,50","-120,23","-81,22","28,405","0,00%","44,638","-72,05","-180,18","-34,41","-180,95","-180,95","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
MAGG3,"59,40","-119,98","1,32","0,684","0,00%","0,440","9,32","4,07","-1,55","6,41","5,34","16,82%","-0,57%","1,14","14,05%","-1,10%","0,00","2.246.130.000,00","1,03","9,27%"
MAPT4,"21,51","-114,93","-3,35","0,000","0,00%","25,573","-4.941,92","-130,91","-2,96","-130,91","-130,91","0,00%","0,00%","0,00","-19,64%","2,92%","315,07","-5.898.000,00","0,00","0,00%"
LINX3,"37,40","-90,95","4,38","7,885","1,52%","2,745","11,96","53,17","47,06","51,49","22,97","14,83%","-8,67%","2,14","6,82%","-4,81%","0,00","1.619.010.000,00","0,22","15,54%"
BNCA3,"70,30","-90,30","2,45","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,72%","0,00","3.068.150.000,00","0,00","2,41%"
AMIL3,"32,20","-73,28","7,70","1,129","0,00%","2,003","-16,95","136,58","-5,43","138,61","50,13","0,83%","-1,53%","0,75","2,22%","-10,51%","0,00","1.532.980.000,00","1,24","28,47%"
NORD3,"10,50","-69,94","-0,49","35,111","0,00%","3,960","-1,50","-66,46","-0,44","-102,42","-102,42","-52,83%","-50,20%","0,03","-6,16%","0,71%","11.167,40","-140.887.000,00","-0,27","46,63%"
BRTP3,"35,71","-67,26","2,45","1,168","0,00%","0,684","8,98","6,03","-2,40","7,55","7,55","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%"
IDVL11,"140,00","-66,00","60,56","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-91,76%","0,00","237.683.000,00","0,00","0,00%"
FRTA3,"4,76","-63,89","-0,15","0,564","0,00%","0,288","-0,12","-36,07","-0,10","-262,41","-262,41","-1,56%","-0,88%","0,06","-0,96%","0,24%","8.210,34","-64.752.000,00","-0,96","-27,76%"
ELMD3,"15,00","-55,60","2,80","6,035","0,00%","1,346","5,40","-69,76","-17,51","-70,27","53,73","-8,65%","-10,85%","2,29","-3,34%","-5,03%","2.272.650,00","750.727.000,00","0,79","0,00%"
PEFX3,"19,00","-52,04","1,68","0,477","0,00%","0,597","20,34","5,75","-3,18","6,59","0,00","8,30%","-0,92%","1,07","11,77%","-3,24%","0,00","396.955.000,00","0,31","4,36%"
PEFX5,"19,00","-52,04","1,68","0,477","0,00%","0,597","20,34","5,75","-3,18","6,59","0,00","8,30%","-0,92%","1,07","11,77%","-3,24%","0,00","396.955.000,00","0,31","4,36%"
TOYB4,"2,50","-47,96","-5,43","5,256","0,00%","4,405","-6,47","-9,04","-3,83","-9,15","-9,67","-58,16%","-10,96%","0,49","-59,36%","11,31%","0,00","-13.852.000,00","-0,07","-26,99%"
IMBI3,"5,01","-46,42","2,81","2.659,020","0,00%","0,518","-2,21","-97,12","-0,37","-104,72","-107,45","-2.737,88%","-13.821,20%","0,05","-0,54%","-6,05%","0,00","62.544.000,00","0,22","-57,16%"
CLAN4,"3,00","-44,92","0,47","15,151","0,00%","0,406","-15,50","-82,56","-6,36","-97,43","22,68","-18,35%","-33,73%","0,73","-0,50%","-1,05%","0,00","1.012.240.000,00","0,08","-63,96%"
TOYB3,"2,29","-43,94","-4,97","4,815","0,00%","4,035","-5,93","-8,28","-3,50","-8,39","-8,87","-58,16%","-10,96%","0,49","-59,36%","11,31%","0,00","-13.852.000,00","-0,07","-26,99%"
EBTP3,"10,21","-43,56","1,17","0,548","0,00%","0,353","-502,47","6,42","-0,73","8,46","2,85","8,53%","-1,03%","0,99","6,03%","-2,68%","0,00","10.782.200.000,00","0,39","22,10%"
EBTP4,"10,00","-42,66","1,14","0,537","0,00%","0,346","-492,13","6,29","-0,71","8,33","2,81","8,53%","-1,03%","0,99","6,03%","-2,68%","0,00","10.782.200.000,00","0,39","22,10%"
EMBR3,"16,43","-41,46","0,83","0,461","0,00%","0,215","0,73","6,18","-1,44","11,30","7,03","7,47%","-1,15%","2,04","4,91%","-2,00%","199.008.000,00","14.686.800.000,00","1,60","2,38%"
FBRA4,"34,58","-39,57","1,66","0,457","0,00%","0,738","18,94","7,40","-4,43","10,62","10,62","6,18%","-1,15%","1,11","11,94%","-4,20%","0,00","213.406.000,00","0,77","12,48%"
BRTP4,"20,81","-39,19","1,43","0,681","0,00%","0,399","5,23","3,51","-1,40","5,03","5,03","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%"
VLID3,"11,02","-37,17","0,73","0,420","2,63%","0,297","1,90","6,08","-1,98","12,07","5,98","6,91%","-1,04%","1,57","6,01%","-1,97%","6.159.190,00","1.235.000.000,00","1,05","7,86%"
ARTR3,"10,01","-36,29","0,89","1,342","0,00%","0,317","66,91","8,97","-0,60","21,87","8,64","14,95%","-3,70%","1,04","3,95%","-2,45%","0,00","6.464.390.000,00","1,55","-1,15%"
ITEC3,"40,10","-35,12","22,04","2.611,690","0,00%","9,216","25,42","-26,00","-68,91","-24,80","-29,56","-10.044,70%","-7.435,88%","5,23","-63,06%","-62,76%","0,00","20.143.000,00","0,00","-74,79%"
BAHI4,"86,00","-34,98","9,86","5,678","0,00%","2,546","-10,42","786,07","-4,24","789,51","115,71","0,72%","-16,47%","0,33","0,35%","-28,19%","0,00","142.631.000,00","0,32","78,05%"
IMBI4,"3,50","-32,43","1,96","1.857,600","0,00%","0,362","-1,54","-67,85","-0,26","-75,44","-77,41","-2.737,88%","-13.821,20%","0,05","-0,54%","-6,05%","0,00","62.544.000,00","0,22","-57,16%"
