,papel,cotacao,pByL,pByVp,psr,dividendYield,pByAtivo,pByCapitalGiro,pByEbit,pByAtivoCircLiq,evByEbit,evByEbitda,margemEbit,margemLiq,liqCorr,roic,roe,liqDoisMeses,patrimonioLiquido,dividaBrutaByPatrimonio,crescRec,setor,industria,nomeEmpresaLongo,nomeEmpresa,smallcap,evByEbitRanking,roicRanking,magicRanking
633,PSSA3,20.78,8.7,1.43,0.633,6.28,0.323,5.71,0.79,-2.71,0.27,0.27,80.12,7.28,1.09,51.93,16.49,46855600.0,9364560000.0,0.0,5.13,Financial Services,Insurance—Diversified,Porto Seguro S.A.,PORTO SEGUROON      NM,False,5,10,15
396,VALE5,33.36,1.38,0.87,0.568,0.0,0.334,4.17,0.96,-0.94,1.02,0.93,59.16,41.34,1.47,42.02,63.01,0.0,192403000000.0,0.4,27.49,,,,,False,14,21,35
532,DSUL3,7.95,5.65,0.97,0.879,0.0,0.721,1.93,2.37,2.7,1.27,1.27,37.13,16.02,3.5,48.91,17.25,0.0,236447000.0,0.01,36.69,,,,,True,23,13,36
359,BPHA3,0.62,0.06,-0.24,-20.054,0.0,0.995,-0.38,0.78,-0.2,1.6,1.43,-2581.69,-33652.5,0.06,401.01,-402.5,0.0,-292294000.0,-0.26,-53.39,,,Brasil Pharma S.A.,BR PHARMA   ON      NM,True,36,1,37
395,MTBR3,0.99,1.37,0.59,0.131,0.0,0.164,1.53,1.45,2.85,0.32,0.27,9.09,9.63,1.16,35.93,43.37,0.0,2511990000.0,0.44,6.66,,,,,False,6,43,49
421,ETER4,9.85,2.26,1.08,0.542,0.0,0.601,1.15,2.03,2.09,1.42,1.35,26.72,23.99,3.54,40.39,47.83,0.0,563245000.0,0.07,13.74,,,,,False,27,24,51
398,MTBR4,1.05,1.45,0.63,0.139,0.0,0.174,1.62,1.53,3.02,0.41,0.35,9.09,9.63,1.16,35.93,43.37,0.0,2511990000.0,0.44,6.66,,,,,False,9,44,53
389,SYNE3,7.23,0.86,0.66,0.479,1.09,0.226,1.87,0.7,-0.92,1.25,1.19,68.0,60.89,2.78,37.95,77.27,4306510.0,1665290000.0,0.96,38.79,Real Estate,Real Estate—Diversified,SYN prop e tech S.A.,SYN PROP TECON      NM,False,22,33,55
391,EPAR4,3.3,0.93,0.68,0.056,0.0,0.222,0.8,0.89,65.3,1.04,0.93,6.32,6.03,1.69,36.9,73.44,0.0,71941000.0,0.56,51.02,,,,,True,17,39,56
554,WIZS3,7.1,6.22,2.9,1.298,8.58,0.93,3.42,2.95,-6.28,2.15,1.95,44.05,22.63,2.12,58.73,46.65,12999400.0,391028000.0,0.57,14.81,Financial Services,Insurance Brokers,Wiz Soluções e Corretagem de Seguros S.A.,WIZ S.A.    ON      NM,False,58,7,65
419,GOAU3,10.45,2.24,0.77,0.145,22.2,0.152,0.59,0.61,4.66,0.95,0.84,23.86,19.85,2.38,31.67,34.35,1048820.0,14742000000.0,0.95,15.64,Basic Materials,Steel,Metalurgica Gerdau S.A.,GERDAU MET  ON      N1,False,13,56,69
431,GOAU4,11.83,2.54,0.87,0.164,19.61,0.172,0.66,0.69,5.27,1.03,0.91,23.86,19.85,2.38,31.67,34.35,90325300.0,14742000000.0,0.95,15.64,Basic Materials,Steel,Metalurgica Gerdau S.A.,GERDAU MET  PN      N1,False,16,57,73
402,BRKM6,30.0,1.67,1.87,0.249,2.02,0.253,2.22,0.93,-0.6,1.67,1.45,26.76,14.95,1.33,37.26,112.04,3877.0,12764200000.0,2.66,14.16,Basic Materials,Chemicals,Braskem S.A.,BRASKEM     PNB     N1,False,40,37,77
520,CMIN3,6.74,5.38,2.65,1.774,6.94,1.329,5.25,3.3,88.83,2.65,2.38,53.82,33.0,1.97,77.14,49.22,50137900.0,14239600000.0,0.33,0.0,Basic Materials,Steel,CSN Mineração S.A.,CSNMINERACAOON      N2,False,71,6,77
476,PLPL3,3.13,4.07,1.95,0.512,6.26,0.542,0.7,1.84,2.72,2.13,2.04,27.77,12.59,6.4,39.05,47.9,2430880.0,328039000.0,0.98,0.0,Real Estate,Real Estate—Development,Plano & Plano Desenvolvimento Imobiliário S.A.,PLANOEPLANO ON      NM,False,55,26,81
371,ASSM4,6.1,0.29,-0.15,-8.357,0.0,0.133,-0.2,0.4,-0.08,1.88,1.88,-2084.39,-2915.61,0.21,35.38,-50.73,0.0,-9943000.0,-0.56,-8.79,,,,,True,45,45,90
430,BRKM3,44.72,2.49,2.79,0.371,16.86,0.378,3.31,1.39,-0.89,2.12,1.85,26.76,14.95,1.33,37.26,112.04,844893.0,12764200000.0,2.66,14.16,Basic Materials,Chemicals,Braskem S.A.,BRASKEM     ON      N1,False,54,36,90
449,ETER3,14.8,3.39,1.62,0.814,1.63,0.904,1.72,3.05,3.14,2.44,2.32,26.72,23.99,3.54,40.39,47.83,40662600.0,563245000.0,0.07,13.74,Industrials,Building Products & Equipment,Eternit S.A.,ETERNIT     ON      NM,False,65,25,90
